Date,Total Doses,First Dose,Second Dose,Pfizer Doses,Moderna,Astrazeneca
12/27/20,24357,24346,11,24351,6,0
12/28/20,18108,18044,64,42459,6,0
12/29/20,50732,50079,652,93190,6,1
12/30/20,64133,64101,32,157323,6,1
12/31/20,50014,49927,87,207337,6,1
1/1/21,25554,25543,10,232879,12,6
1/2/21,48087,48009,78,280966,12,6
1/3/21,22562,22557,5,303526,14,6
1/4/21,46188,46089,99,349686,25,6
1/5/21,52702,52615,87,402387,26,6
1/6/21,63162,63076,86,465540,32,9
1/7/21,54801,54781,20,520333,37,11
1/8/21,62837,62735,102,583117,88,13
1/9/21,60740,60595,145,643853,91,14
1/10/21,35993,35880,113,679836,100,15
1/11/21,68282,68228,54,748102,114,17
1/12/21,79144,79082,62,827225,131,20
1/13/21,112195,111994,201,938241,1310,20
1/14/21,84128,83915,213,1017207,6472,20
1/15/21,91811,90893,918,1103717,11752,39
1/16/21,58082,56861,1221,1160108,13441,40
1/17/21,47810,30799,17011,1206654,14703,41
1/18/21,82994,67379,15615,1285389,18961,42
1/19/21,119703,83658,36045,1401274,22728,93
1/20/21,132779,79013,53766,1531210,25567,97
1/21/21,105537,64619,40917,1633928,28384,99
1/22/21,102335,68749,33586,1734058,30576,112
1/23/21,87054,40511,46543,1820753,30931,116
1/24/21,47825,25689,22136,1868375,31130,120
1/25/21,91017,52280,38737,1957937,32582,123
1/26/21,98416,50680,47732,2054905,34023,130
1/27/21,109428,50946,58482,2162532,35815,138
1/28/21,92538,46820,45718,2253438,37444,141
1/29/21,107722,49829,57893,2359607,38926,212
1/30/21,88116,34620,53496,2446836,39808,215
1/31/21,57229,25761,31468,2503682,40186,220
2/1/21,120189,58285,61903,2621601,42401,275
2/2/21,132828,65543,67285,2751274,45534,297
2/3/21,162995,64596,98399,2907846,51931,323
2/4/21,134586,62076,72509,3036527,57828,331
2/5/21,147568,69377,78191,3177615,64300,339
2/6/21,94156,45604,48552,3269137,66933,340
2/7/21,53572,28293,25279,3320370,69269,342
2/8/21,109495,53041,56454,3425997,73106,372
2/9/21,134609,60247,74361,3556975,76550,559
2/10/21,155525,77787,77738,3699814,80842,8952
2/11/21,144564,75558,69006,3820660,88162,25348
2/12/21,156238,80265,75973,3953104,97540,39761
2/13/21,107861,62052,45809,4044280,100809,53176
2/14/21,65464,39630,25834,4099960,103291,60477
2/15/21,125857,70178,55679,4204932,108614,76028
2/16/21,134834,78363,56471,4313853,114831,95723
2/17/21,151873,95425,56448,4436694,122894,116691
2/18/21,144876,91539,53336,4549322,131183,140645
2/19/21,159087,103155,55932,4670710,141225,168301
2/20/21,112511,76175,36336,4757390,145701,189654
2/21/21,86017,57713,28304,4823947,149348,205466
2/22/21,156684,98299,58385,4947560,158424,229460
2/23/21,170601,110008,60593,5081895,165790,258359
2/24/21,177059,117613,59445,5214009,173452,295641
2/25/21,190306,130945,59360,5345971,180243,347194
2/26/21,214061,146418,67642,5487890,189124,410455
2/27/21,148112,108298,39814,5580654,193213,461713
2/28/21,103500,79289,24198,5642309,197178,499591
3/1/21,199393,149367,50026,5773385,206891,558195
3/2/21,220178,167916,52262,5914309,217008,627332
3/3/21,248550,177754,70796,6072942,232194,702063
3/4/21,245917,182568,63348,6214907,246713,791496
3/5/21,275640,208206,67433,6363432,260110,905213
3/6/21,202855,154113,48742,6472885,268976,989749
3/7/21,147888,114359,33529,6552771,275660,1051067
3/8/21,238292,186423,51869,6687211,286649,1143930
3/9/21,253025,198057,54967,6827776,299453,1243586
3/10/21,289951,222484,67465,6987662,311711,1361392
3/11/21,285171,224203,60967,7135665,325490,1484781
3/12/21,327695,256571,71124,7287558,342825,1643248
3/13/21,241281,190885,50396,7403876,352418,1758618
3/14/21,170455,134754,35699,7492131,357940,1835296
3/15/21,248942,189629,59313,7645389,370699,1918221
3/16/21,179532,111204,68328,7812411,382010,1919420
3/17/21,205870,124689,81181,7999465,400074,1920172
3/18/21,194054,118245,75809,8174121,418304,1921340
3/19/21,245910,161241,84668,8360423,439180,1960072
3/20/21,220858,167455,53402,8496099,454529,2029905
3/21/21,164920,126595,38325,8598556,463743,2083153
3/22/21,269974,193246,76725,8765489,487624,2162313
3/23/21,301701,217309,84392,8947683,507407,2262036
3/24/21,340415,250717,89698,9148641,540602,2368296
3/25/21,333935,252562,81372,9335087,568322,2488064
3/26/21,375467,286405,89061,9535607,605681,2625650
3/27/21,281929,219445,62484,9685474,633392,2729999
3/28/21,196769,143429,53340,9801003,651957,2792673
3/29/21,306510,217529,88981,9990233,676987,2884923
3/30/21,329946,237000,92944,10209479,701515,2971095
3/31/21,337798,235857,101940,10458235,737751,3023901
4/1/21,328466,237185,91281,10698749,770278,3079325
4/2/21,226227,158107,68119,10878679,784698,3111202
4/3/21,232505,167824,64681,11053310,800551,3153223
4/4/21,193442,142853,50589,11185871,810629,3204024
4/5/21,248471,178046,70421,11351270,828521,3269204
